text,intent,label
what is the weather day before tomorrow,asking weather,2
Hi there,"greet and hello hi kind of things, general check in",7
send whatsapp message about,send whatsapp message,14
where is the best pizza on sixth street,places near me,10
lower the volume ten percent,volume control,19
Hi there,"greet and hello hi kind of things, general check in",7
decrease volume to very soft,volume control,19
give me the time,asking time,1
daily cases of india,covid cases,4
screen shot of <name>,take screenshot,15
What is the time?,asking time,1
play pacman game with me,play games,11
send email to dipesh,send email,13
Hya there,"greet and hello hi kind of things, general check in",7
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
headline news for texas,tell me news,18
i am unclear about your response.,tell me about,16
see you later,goodbye,6
Hello how are you?,"greet and hello hi kind of things, general check in",7
It is Bella,"greet and hello hi kind of things, general check in",7
send an email to adele,send email,13
give me some bowie,play on youtube,12
Where can I find something nearby?,places near me,10
tell me a joke about the sun,tell me joke,17
This is Adam,"greet and hello hi kind of things, general check in",7
prepare to send an outgoing reply message,send email,13
tell me about yours,tell me about,16
send email to dipesh,send email,13
send email about,send email,13
what did you mean by saying this.,tell me about,16
What actions can you perform?,what can you do,20
tell me a joke about xenophobia,tell me joke,17
This is Adam,"greet and hello hi kind of things, general check in",7
show me the current time,asking time,1
play games with me,play games,11
What are your functionalities?,what can you do,20
This is Adam,"greet and hello hi kind of things, general check in",7
what are the best italian restaurants in los angeles,places near me,10
please send mom an email saying that i can make it next week,send email,13
tell me everything about umf,tell me about,16
what time is it,asking time,1
"Thank you, goodbye",goodbye,6
Tell me a joke,tell me joke,17
can you turn that down,volume control,19
What are your functions?,what can you do,20
whats around,places near me,10
is it colder than yesterday,asking weather,2
what things can't you do,tell me about,16
i am bored today,i am bored,8
what should i wear is it cold outside,asking weather,2
download youtube video of,download youtube video,5
what will be the weather update for monday noon,asking weather,2
download youtube video of minecraft,download youtube video,5
covid cases,covid cases,4
Quiet,goodbye,6
i am bored what can i do today with my boyfriend,i am bored,8
download youtube video of,download youtube video,5
time and date of today,asking time,1
My user is Adam,"greet and hello hi kind of things, general check in",7
what is the update on stock market,tell me news,18
will you please mute my speakers,volume control,19
see you later,goodbye,6
howdy,"greet and hello hi kind of things, general check in",7
recommend a restaurant with medium expense,places near me,10
screen shot,take screenshot,15
send email to <name>,send email,13
write an email to luke asking how the weather will be this coming week,send email,13
What are some nearby locations?,places near me,10
hi how are you,"greet and hello hi kind of things, general check in",7
Can you recommend some places nearby?,places near me,10
quiet time,volume control,19
Bye,goodbye,6
tomorrow,asking date,0
an graphical images effects to be required,tell me about,16
open website twitter.com,open website,9
volume control increase,volume control,19
open website stackoverflow.com,open website,9
Great thanks! I am Bella,"greet and hello hi kind of things, general check in",7
i want the email to be sent to my new email address abc@gmail dot com,send email,13
Hola how are you?,"greet and hello hi kind of things, general check in",7
download youtube video of <name>,download youtube video,5
Where should I go nearby?,places near me,10
screen shot of <name>,take screenshot,15
play <song> on youtube,play on youtube,12
please explain me about your words once again.,tell me about,16
send email about,send email,13
what are the most recent headlines on cnn,tell me news,18
It is Adam,"greet and hello hi kind of things, general check in",7
play shape of you on youtube today,play on youtube,12
Tell me a joke,tell me joke,17
what's happening on bbc news today,tell me news,18
take screenshot,take screenshot,15
What can you assist me with?,what can you do,20
open website facebook.com,open website,9
i am bored today what can i do,i am bored,8
open games,play games,11
Hola how are you?,"greet and hello hi kind of things, general check in",7
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
what's around me,places near me,10
explain it further please.,tell me about,16
play kishore kumar on youtube,play on youtube,12
I am Bella,"greet and hello hi kind of things, general check in",7
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
tell me about history of british india,tell me about,16
Tell me a joke,tell me joke,17
play bad guy on youtube,play on youtube,12
take screenshot of,take screenshot,15
tell me a joke about kim jong un,tell me joke,17
good evening,goodbye,6
explain how to set my coffee machine,,-1
please let me know about topic elections,tell me news,18
i am bored what can i do today,i am bored,8
"Thank you, goodbye",goodbye,6
tell me about my life,tell me about,16
i am bored what can i do today with my family,i am bored,8
what is the time,asking time,1
open website instagram.com,open website,9
can you make me coffee now,,-1
Enough talking,goodbye,6
what are today's headlines,tell me news,18
"Thank you, goodbye",goodbye,6
places near me to eat today,places near me,10
download youtube video of minecraft,download youtube video,5
make me laugh,tell me joke,17
take screenshot,take screenshot,15
i would like it if my robot could make money for me,tell me about,16
did i get an email from mike,send email,13
how much snow has fallen in maine since yesterday,asking weather,2
daily cases of india,covid cases,4
Hola how are you?,"greet and hello hi kind of things, general check in",7
play shape of you on youtube today,play on youtube,12
covid confirmed cases of,covid cases,4
tell me a joke about xenophobia,tell me joke,17
play music from workout playlist,play on youtube,12
Hya,"greet and hello hi kind of things, general check in",7
please reply to my colleagues mail about his query,send email,13
hey there,"greet and hello hi kind of things, general check in",7
send whatsapp message,send whatsapp message,14
i fancy some coffee now,,-1
play kishore kumar on youtube,play on youtube,12
send an email to john,send email,13
send email to xyz@gmail.com,send email,13
"Thank you, bye",goodbye,6
My user is Adam,"greet and hello hi kind of things, general check in",7
Do you know what time it is?,asking time,1
tell me something funny,tell me joke,17
markets near by,places near me,10
Can you tell me the time?,asking time,1
Will it rain tomorrow,asking weather,2
"s2, do not get the last sentence.",tell me about,16
What tasks can you complete?,what can you do,20
what is the day,asking date,0
would you play some music please,play on youtube,12
set coffee to brew at seven am,,-1
initiate the music on the electronic playlist,play on youtube,12
Tell me a joke,tell me joke,17
What are your functionalities?,what can you do,20
click selfie of,click photo,3
please email celine,send email,13
what did the clinic say about my exams,send email,13
play on youtube,play on youtube,12
download youtube video of guru randhawa,download youtube video,5
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
tell me you,tell me about,16
What services do you offer?,what can you do,20
Hello,"greet and hello hi kind of things, general check in",7
where is a good place to eat in seattle,places near me,10
send email to <name>,send email,13
say some jokes,tell me joke,17
day after tomorrow,asking date,0
display date,asking time,1
Enough talking,goodbye,6
please will you elaborate further on last sentence.,tell me about,16
what time is it tomorrow,asking time,1
Quiet,goodbye,6
Hello how are you?,"greet and hello hi kind of things, general check in",7
can you set radio to mute,volume control,19
tell me news day after tomorrow,tell me news,18
See you later,goodbye,6
send email to xyz@gmail.com,send email,13
hey,"greet and hello hi kind of things, general check in",7
i would like it if my robot could make money for me,tell me about,16
Quiet,goodbye,6
capture selfie,click photo,3
whats up,"greet and hello hi kind of things, general check in",7
schedule text messages for later,send email,13
volume control mute,volume control,19
I am feeling a bit bored,i am bored,8
Give me a joke,tell me joke,17
What are some places near me?,places near me,10
play music from good playlist,play on youtube,12
play on youtube,play on youtube,12
I am so bored,i am bored,8
daily cases of india,covid cases,4
what happened yesterday on samurai jack,tell me news,18
Can you tell me the time?,asking time,1
tell me you,tell me about,16
what is the weather like now tomorrow,asking weather,2
what's your favorite color,tell me about,16
take screenshot of google,take screenshot,15
Tell me a joke,tell me joke,17
covid cases of india past 24 hours,covid cases,4
what is the weather like now today,asking weather,2
covid confirmed cases of,covid cases,4
This is Adam,"greet and hello hi kind of things, general check in",7
whats up,"greet and hello hi kind of things, general check in",7
send email,send email,13
play games of c,play games,11
tell me a fun joke,tell me joke,17
How about a joke,tell me joke,17
Thanks good bye,goodbye,6
update my inbox please,send email,13
play all songs by metallica on shuffle,play on youtube,12
say something funny,tell me joke,17
take screenshot,take screenshot,15
compose a new email but i got a new address this time brandon at example dot com,send email,13
would you please once again explain me about your words.,tell me about,16
play bad guy on youtube,play on youtube,12
what is the time in beijing,asking time,1
whats up,"greet and hello hi kind of things, general check in",7
Hi there,"greet and hello hi kind of things, general check in",7
what's the good news?,tell me news,18
what music is currently playing,play on youtube,12
Can you lower the volume?,volume control,19
bye,goodbye,6
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
daily cases of india,covid cases,4
This is Adam,"greet and hello hi kind of things, general check in",7
take screenshot of google,take screenshot,15
i want a coffee,,-1
open website stackoverflow.com,open website,9
what time is it in this city,asking time,1
whats the latest,tell me news,18
can you find an animal joke for me,tell me joke,17
Make me laugh,tell me joke,17
hey reply a mail which i received,send email,13
where can i shop around here,places near me,10
tell me fun joke,tell me joke,17
send email to dipesh,send email,13
make me laugh,tell me joke,17
can you explain me further on what you just said.,tell me about,16
Hola how are you?,"greet and hello hi kind of things, general check in",7
Tell me a joke,tell me joke,17
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
march tenth lands on what day of the week,asking time,1
Where should I go nearby?,places near me,10
speaker volume decrease,volume control,19
what's good news,tell me news,18
make me a cappuccino,,-1
where is the nearest atm machine,places near me,10
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
any signs of rain,asking weather,2
good evening,goodbye,6
Make me laugh,tell me joke,17
Give me a joke,tell me joke,17
play on youtube,play on youtube,12
Enough talking,goodbye,6
open website wikipedia.com,open website,9
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
screen shot of <name>,take screenshot,15
hey there,"greet and hello hi kind of things, general check in",7
what is the weather,asking weather,2
Tell me a joke,tell me joke,17
I am feeling unoccupied,i am bored,8
what time is it day before tomorrow,asking time,1
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
time,asking time,1
make me laugh,tell me joke,17
hello there,"greet and hello hi kind of things, general check in",7
hey tell me a knock knock joke,tell me joke,17
Shut up,goodbye,6
what is the weather like now,asking weather,2
What are some nearby locations?,places near me,10
play on youtube,play on youtube,12
play let me love you on youtube,play on youtube,12
please play trivial pursuit with me,play games,11
will you please rephrase me further on that.,tell me about,16
volume control decrease,volume control,19
tell me about this person,tell me about,16
tell me a joke about getting a first,tell me joke,17
What's the time?,asking time,1
I am not entertained,i am bored,8
i saw a bulldog today,tell me about,16
download youtube video of,download youtube video,5
download youtube video hd,download youtube video,5
Can you tell me the time?,asking time,1
can i please have a cafe americano,,-1
play on youtube,play on youtube,12
daily cases of india,covid cases,4
check emails from gary for last hour,send email,13
what is the weather like day after tomorrow,asking weather,2
what's the time in new york,asking time,1
i am bored today,i am bored,8
"s1, can you please again rephrase to me.",tell me about,16
take screenshot of google,take screenshot,15
where do people shop for clothes here,places near me,10
take screenshot,take screenshot,15
open website github.com,open website,9
tomorrow,asking date,0
what music genre do i listen to the most,play on youtube,12
let's play a game,play games,11
weather forecast please,asking weather,2
What can you assist me with?,what can you do,20
screen shot of <name>,take screenshot,15
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
tell me who wrote this song,play on youtube,12
i am bored what can i do today with my wife,i am bored,8
what can you do,what can you do,20
Please be quiet,goodbye,6
Can you set the volume to minimum?,volume control,19
what's the weather in toronto today,asking weather,2
what is happening with brexit today,tell me news,18
where is the nearest olive garden,places near me,10
i need to play sims,play games,11
i am bored today,i am bored,8
click selfie,click photo,3
i need to edit marie jones email address to read,send email,13
turn down the speakers,volume control,19
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
tell me fun joke,tell me joke,17
It is Adam,"greet and hello hi kind of things, general check in",7
"s1, will you further explain.",tell me about,16
capture photo,click photo,3
i want to dance to the tune of raghu dixit,play on youtube,12
how many degrees is it in orange tx right now,asking weather,2
covid cases,covid cases,4
Can you recommend some places nearby?,places near me,10
where is the nearest pub in the city,places near me,10
please check recent emails from new contact,send email,13
hey can you please make me a creamy coffee,,-1
please do not talk for thirty minutes,volume control,19
what's good news,tell me news,18
what's playing,play on youtube,12
Can you turn the volume up?,volume control,19
open website google.com,open website,9
open website twitter.com,open website,9
lower all volume on speakers please,volume control,19
"Thank you, goodbye",goodbye,6
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
please mute the volume control,volume control,19
play me an upbeat song through your speakers,play on youtube,12
open website google.com,open website,9
how many calories did i burn with my fifty minutes of yoga,tell me about,16
pull up my cnn app and read it to me,tell me news,18
places near me to eat today with my family,places near me,10
send email,send email,13
tell me starting phrase of this music,play on youtube,12
click photo of <name>,click photo,3
play fmod,play games,11
Stop talking,goodbye,6
make me laugh,tell me joke,17
show me the time,asking time,1
What are your functionalities?,what can you do,20
Is it going to snow,asking weather,2
tell me about president,tell me about,16
play shape of you on youtube today,play on youtube,12
whats up,"greet and hello hi kind of things, general check in",7
tell me about today,tell me about,16
what is the date and month today,asking time,1
Enough talking,goodbye,6
tell me about my day,tell me about,16
what is the weather like day after tomorrow,asking weather,2
is there anything new in my email folder,send email,13
hey there,"greet and hello hi kind of things, general check in",7
covid confirmed cases of,covid cases,4
what is the time in bangalore,asking time,1
what's the name of the piece you are playing,play on youtube,12
do you hear songs of arrahman music,play on youtube,12
is it going to rain in the next few days in tucson,asking weather,2
play <song> on youtube,play on youtube,12
cut down the volume,volume control,19
send email to dipesh,send email,13
what's the weather this week,asking weather,2
nearest walmart location,places near me,10
what is the day of the week,asking date,0
let's play chess,play games,11
Hello there,"greet and hello hi kind of things, general check in",7
I am Bella,"greet and hello hi kind of things, general check in",7
download youtube video of,download youtube video,5
click selfie of,click photo,3
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
click selfie of,click photo,3
please explain me more on what you've just said.,tell me about,16
send email to,send email,13
Do you know what time it is?,asking time,1
covid confirmed cases of,covid cases,4
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
Can you tell me the time?,asking time,1
can you please explain more on last sentence to me.,tell me about,16
What can you help me with?,what can you do,20
please answer jean's email,send email,13
"Thank you, goodbye",goodbye,6
hello there,"greet and hello hi kind of things, general check in",7
say a good joke for me right now,tell me joke,17
covid cases of india past 48 hours,covid cases,4
covid cases,covid cases,4
send whatsapp message about <name>,send whatsapp message,14
Hi there,"greet and hello hi kind of things, general check in",7
play games with me,play games,11
play r and b,play on youtube,12
go to email compile,send email,13
What are your functionalities?,what can you do,20
time,asking time,1
send email,send email,13
open website facebook.com,open website,9
Hi there,"greet and hello hi kind of things, general check in",7
what song is playing on windows media player,play on youtube,12
what is the weather like,asking weather,2
help me to mute my speaker,volume control,19
say a funny,tell me joke,17
good afternoon,goodbye,6
please send an email to mom,send email,13
tell me news,tell me news,18
will play chess,play games,11
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
funny joke,tell me joke,17
What services do you offer?,what can you do,20
Tell me a joke,tell me joke,17
turn the volume down a little please,volume control,19
"Thank you, bye",goodbye,6
capture selfie,click photo,3
what news updates are there from news express,tell me news,18
covid cases of india past 48 hours,covid cases,4
what is the weather for the school week,asking weather,2
reply to erins email by saying i will be on time,send email,13
day after tomorrow,asking date,0
send email about,send email,13
tell me about my business,tell me about,16
could you elaborate me more on your response please.,tell me about,16
tell me a good joke,tell me joke,17
has john sent me any new emails,send email,13
bye,goodbye,6
what is the time now,asking time,1
hey send email to john,send email,13
today,asking date,0
tell me the news of the day,tell me news,18
send email to bill asking to reschedule,send email,13
listen to this song,play on youtube,12
Make me laugh,tell me joke,17
lessen the speaker volume,volume control,19
please explain me about your words once again.,tell me about,16
Do you know any jokes,tell me joke,17
Hola how are you?,"greet and hello hi kind of things, general check in",7
I have nothing to do,i am bored,8
day after tomorrow,asking date,0
Please be quiet,goodbye,6
tell me about my day,tell me about,16
lets play tic tac toe,play games,11
do i have any new emails from sarah,send email,13
screen shot of <name>,take screenshot,15
covid cases,covid cases,4
I am Bella,"greet and hello hi kind of things, general check in",7
send an email to jesse,send email,13
get latest news report on kidnapping in ny,tell me news,18
did i receive any email in the past hour,send email,13
play cricket,play games,11
see you later,goodbye,6
daily cases of india,covid cases,4
Quiet,goodbye,6
tell funny things,tell me joke,17
good afternoon,goodbye,6
what day of the week does christmas fall on this year,asking time,1
"Thank you, bye",goodbye,6
near by grocery,places near me,10
play despacito on youtube today,play on youtube,12
Can you lower the volume?,volume control,19
download youtube video of guru randhawa,download youtube video,5
send whatsapp message,send whatsapp message,14
volume control increase by 10,volume control,19
turn off the sounds,volume control,19
take screenshot,take screenshot,15
How are you?,"greet and hello hi kind of things, general check in",7
i need a drink,,-1
did i email tom on the subject of gun control,send email,13
start a cup of coffee for me,,-1
list all emails with subject contract,send email,13
send whatsapp message about,send whatsapp message,14
could you please tell me what time is in singapore,asking time,1
"Thank you, bye",goodbye,6
please be quiet for another hour,volume control,19
send whatsapp message to,send whatsapp message,14
please open go fish game and play it with me,play games,11
Can you tell me the time?,asking time,1
send this email to reply to the latest emails,send email,13
play despacito on youtube today,play on youtube,12
play let me love you on youtube,play on youtube,12
latest news,tell me news,18
take screenshot of google,take screenshot,15
Tell me a joke,tell me joke,17
tell me a dad joke,tell me joke,17
do you know about this lyrics,play on youtube,12
is today a sunscreen day,asking weather,2
i am bored today what can i do,i am bored,8
Hello how are you?,"greet and hello hi kind of things, general check in",7
Can you mute the volume?,volume control,19
play football match for myself now,play games,11
tell a joke,tell me joke,17
tell me about my day,tell me about,16
Hi there,"greet and hello hi kind of things, general check in",7
ten past seven,asking time,1
volume control mute,volume control,19
see you later,goodbye,6
Hello,"greet and hello hi kind of things, general check in",7
open website stackoverflow.com,open website,9
hey,"greet and hello hi kind of things, general check in",7
what day of the week is first april,asking time,1
click photo of <name>,click photo,3
play games of gcc,play games,11
Please be quiet,goodbye,6
cut off noise,volume control,19
Hello there,"greet and hello hi kind of things, general check in",7
covid confirmed cases of,covid cases,4
it's really loud can you please turn the music down,volume control,19
Tell me about,tell me about,16
i want to play blackjack,play games,11
Do you know the time?,asking time,1
run coffee maker,,-1
What are the top places nearby?,places near me,10
suggestions for future,tell me about,16
Hello how are you?,"greet and hello hi kind of things, general check in",7
commence coffee making,,-1
start candy crush,play games,11
make coffee for me,,-1
today i couldn't find my phone,tell me about,16
your birth date,tell me about,16
open some cools jokes,tell me joke,17
what day is it on fifth december,asking time,1
what is the weather like day before tomorrow,asking weather,2
hello what time it is now,asking time,1
what can you do,what can you do,20
Hya,"greet and hello hi kind of things, general check in",7
Do you know what time it is?,asking time,1
what can you do for me,what can you do,20
Do you know what time it is?,asking time,1
good afternoon,goodbye,6
can you turn that down,volume control,19
check to see if my mom sent me any emails,send email,13
Where should I go nearby?,places near me,10
write this message to the coworker group,send email,13
can you please further explain me about that.,tell me about,16
I am so bored,i am bored,8
it has a meaning of rhythm,tell me about,16
What can you assist me with?,what can you do,20
play on youtube,play on youtube,12
Do you know what time it is?,asking time,1
please list shops within one miles from me,places near me,10
have there been updates on abortion law,tell me news,18
play mario,play games,11
is it raining now,asking weather,2
give me time,asking time,1
what song is playing,play on youtube,12
reply wishes to john by email,send email,13
Thanks good bye,goodbye,6
play some boy band music,play on youtube,12
turn down the speakers,volume control,19
Time,asking time,1
read unchecked email,send email,13
could you manipulate roip for me,tell me about,16
Can you tell me the time?,asking time,1
Thanks good bye,goodbye,6
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
"Thank you, goodbye",goodbye,6
would you again rephrase me on your words please.,tell me about,16
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
tell me about president,tell me about,16
turn sound off,volume control,19
play games of xyz 32 bit,play games,11
What are your functionalities?,what can you do,20
how do i buy tickets for that,tell me about,16
Be quiet,goodbye,6
will it get warmer here next week,asking weather,2
Is it going to snow,asking weather,2
How about a joke,tell me joke,17
tell me joke about trump,tell me joke,17
Hola how are you?,"greet and hello hi kind of things, general check in",7
daily cases of india,covid cases,4
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
places near me to eat today with my friends,places near me,10
tell me news day after tomorrow,tell me news,18
when i want it to take down notes,tell me about,16
tell me a dad joke,tell me joke,17
will there be snow this week,asking weather,2
i need a naughty joke not to naughty though,tell me joke,17
order one coffee to starbucks coffee shop,,-1
what is the day,asking date,0
play games of gcc,play games,11
download youtube video,download youtube video,5
what is the weather for this week,asking weather,2
open website google.com,open website,9
download youtube video of minecraft,download youtube video,5
open website stackoverflow.com,open website,9
send email to dipesh,send email,13
i want to hear a funny joke,tell me joke,17
good evening,goodbye,6
"Thank you, bye",goodbye,6
set the volume to low,volume control,19
where is a good place to eat cheap pakistani food,places near me,10
Tell me a joke,tell me joke,17
the latest climate and weather news,tell me news,18
send email to <name> about <name>,send email,13
good afternoon,goodbye,6
"Thank you, bye",goodbye,6
instruct the coffee maker to make a filter coffee ready in ten minutes,,-1
download youtube video of minecraft,download youtube video,5
hey,"greet and hello hi kind of things, general check in",7
what's good news,tell me news,18
What are your functions?,what can you do,20
what day is easter,asking time,1
please show me today's date,asking time,1
play minecraft with me,play games,11
send email to <name> about <name>,send email,13
good bye,goodbye,6
can you tell me the time in new york,asking time,1
tell me fun joke,tell me joke,17
i want to listen arijit singh song once again,play on youtube,12
on tuesday what is the weather supposed to be,asking weather,2
hey there,"greet and hello hi kind of things, general check in",7
i did not want you to send that text yet wait until i say send,send email,13
have i gotten any emails from mom lately,send email,13
how has your life been changed by me,tell me about,16
Can you increase the volume?,volume control,19
i want to hear surfin usa,play on youtube,12
we are going to play poker together,play games,11
open website github.com,open website,9
send email to marissa,send email,13
who is the singer of song,play on youtube,12
I am Bella,"greet and hello hi kind of things, general check in",7
Hi there,"greet and hello hi kind of things, general check in",7
Tell me a joke,tell me joke,17
get sia's cheap thrills ready to play next,play on youtube,12
What are your functionalities?,what can you do,20
play closer music track,play on youtube,12
open website wikipedia.com,open website,9
Tell me a joke,tell me joke,17
play pacman game with me,play games,11
what time is it day before tomorrow,asking time,1
whats up,"greet and hello hi kind of things, general check in",7
what the singer meant by the title of the song bohemian rhapsody,play on youtube,12
what are the results of the election,tell me news,18
what happened last week,tell me news,18
please open a reply to the email,send email,13
capture photo of,click photo,3
Do you know any jokes,tell me joke,17
what is your prescription for long and healthy life,tell me about,16
what's good news today,tell me news,18
report the time in miami,asking time,1
tell me a joke about birds,tell me joke,17
Can you lower the volume?,volume control,19
Shhh,goodbye,6
Can you set the volume to minimum?,volume control,19
Do you know any jokes,tell me joke,17
click selfie,click photo,3
take screenshot of google,take screenshot,15
what time is it,asking time,1
send email about <name>,send email,13
what is the current time in chennai,asking time,1
hey email jan about our meeting,send email,13
"Thank you, goodbye",goodbye,6
what is the weather day before tomorrow,asking weather,2
play games of xyz 32 bit,play games,11
send email to dipesh,send email,13
tomorrow,asking date,0
volume control decrease by 10,volume control,19
can you tell me a joke,tell me joke,17
download youtube video of <name>,download youtube video,5
screen shot now,take screenshot,15
send whatsapp message,send whatsapp message,14
Tell me a joke,tell me joke,17
Hola how are you?,"greet and hello hi kind of things, general check in",7
What can you help me with?,what can you do,20
email chris add following content sorry i will be late today,send email,13
send email to <name>,send email,13
what can you do for me,what can you do,20
please change the volume low of the speakers,volume control,19
click selfie of,click photo,3
you're too loud,volume control,19
send whatsapp message,send whatsapp message,14
let's play space invaders together,play games,11
click selfie,click photo,3
give me the winning numbers to the powerball lottery,tell me news,18
have you made a mistake.,tell me about,16
open website twitter.com,open website,9
mute,volume control,19
tell me news,tell me news,18
tomorrow,asking date,0
send whatsapp message,send whatsapp message,14
shall i change my car tyres to snow tyres soon,asking weather,2
tell me a joke about lawyers,tell me joke,17
what's the good news?,tell me news,18
download youtube video hd of,download youtube video,5
places near me to eat today with my friends,places near me,10
will i need sunblock this weekend,asking weather,2
How about a joke,tell me joke,17
what time is it day before tomorrow,asking time,1
covid cases of india past 24 hours,covid cases,4
lets play chess together,play games,11
would you please once again rephrase me on your answers.,tell me about,16
send email to <name>,send email,13
where is a theatre in my area,places near me,10
Where can I find something nearby?,places near me,10
Tell me a joke,tell me joke,17
what day is it tomorrow,asking date,0
tomorrow,asking date,0
i am bored what can i do today with my wife,i am bored,8
hi buddy send mail to my friend hellen regarding home builders are not accepted the offer,send email,13
Thanks goodbye,goodbye,6
tomorrow,asking date,0
find me a bar in cleveland open until two am,places near me,10
see you later,goodbye,6
which week is twenty third,asking time,1
send answer to george,send email,13
play games of xxd,play games,11
play my motivational playlist,play on youtube,12
"Thank you, goodbye",goodbye,6
What is the,tell me about,16
download youtube video of,download youtube video,5
which song am i listening to right now,play on youtube,12
send email about <name>,send email,13
open website linkedin.com,open website,9
"Thank you, bye",goodbye,6
What can you assist me with?,what can you do,20
silent mode,volume control,19
"Thank you, goodbye",goodbye,6
what is the weather like now tomorrow,asking weather,2
hey there,"greet and hello hi kind of things, general check in",7
please change the volume to mute,volume control,19
What are your functionalities?,what can you do,20
play bad guy on youtube,play on youtube,12
send whatsapp message about,send whatsapp message,14
a joke please,tell me joke,17
See you later,goodbye,6
what time is it in london,asking time,1
what time is it tomorrow,asking time,1
hey there,"greet and hello hi kind of things, general check in",7
send email to dipesh,send email,13
email my favourite contacts,send email,13
tell me news,tell me news,18
lessen the speaker volume,volume control,19
what time is it now,asking time,1
show me this week's forecast,asking weather,2
Hello,"greet and hello hi kind of things, general check in",7
open website wikipedia.com,open website,9
send an email to peter and ask him how is he now can i do something to help him,send email,13
do i have any new emails from dan,send email,13
daily cases of india,covid cases,4
what song is this,play on youtube,12
click selfie,click photo,3
click photo of <name>,click photo,3
what's going on with economy,tell me news,18
open website facebook.com,open website,9
tomorrow,asking date,0
what is the forecast,asking weather,2
tomorrow,asking date,0
play music,play on youtube,12
download youtube video of guru randhawa,download youtube video,5
in classic all music are there ever any singers,play on youtube,12
what is the day of the week,asking date,0
daily cases of india,covid cases,4
covid confirmed cases of,covid cases,4
tell me a joke about dogs,tell me joke,17
covid confirmed cases of,covid cases,4
Please be quiet,goodbye,6
how would you tackle the following problem brush your teeth,tell me about,16
is the sun gonna shine in devon this weekend,asking weather,2
can you further explain me on it please.,tell me about,16
what's good news,tell me news,18
What can I ask you to do?,what can you do,20
tomorrow,asking date,0
play games of gcc,play games,11
Please be quiet,goodbye,6
what music do i like,play on youtube,12
what's the good news?,tell me news,18
look up news articles about trump,tell me news,18
"s1, please once again clarify to me.",tell me about,16
covid confirmed cases of,covid cases,4
download youtube video of,download youtube video,5
Tell me a joke,tell me joke,17
Can you lower the volume?,volume control,19
tell me a fun joke,tell me joke,17
what is a funny joke about car,tell me joke,17
open website github.com,open website,9
good evening,goodbye,6
whats up,"greet and hello hi kind of things, general check in",7
what is the day of the week,asking date,0
play baseball with me,play games,11
opinion about latest gadgets,tell me about,16
Hello how are you?,"greet and hello hi kind of things, general check in",7
send email to <name> about <name>,send email,13
tell me about yours,tell me about,16
send whatsapp message,send whatsapp message,14
i would like a cup of coffee with one cream and three sugars,,-1
download youtube video of <name>,download youtube video,5
my friend john has sent me a invitation card to his newly bought home say thanks to him in his mail id,send email,13
Enough talking,goodbye,6
play games,play games,11
Quiet,goodbye,6
send email to <name>,send email,13
make me a cup of coffee with salted carmel flavored cream,,-1
open website linkedin.com,open website,9
How about a joke,tell me joke,17
when was this song released,play on youtube,12
Goodbye,goodbye,6
i'd like a cup of coffee please,,-1
click photo,click photo,3
hey,"greet and hello hi kind of things, general check in",7
time,asking time,1
take screenshot of,take screenshot,15
send email about,send email,13
be funny for me,tell me joke,17
I am so bored,i am bored,8
Hello how are you?,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
tell me a joke about a man,tell me joke,17
what time is it in the eastern half of the us right now,asking time,1
open website stackoverflow.com,open website,9
mute audio,volume control,19
places near me to eat today,places near me,10
what day is it day after tomorrow,asking date,0
Tell me a joke,tell me joke,17
hey there,"greet and hello hi kind of things, general check in",7
what time is it day before tomorrow,asking time,1
what is the title of this song,play on youtube,12
send whatsapp message,send whatsapp message,14
run indian folk song,play on youtube,12
what day is it today,asking date,0
lower volume to half,volume control,19
take screenshot of google,take screenshot,15
Give me a joke,tell me joke,17
"Thank you, goodbye",goodbye,6
download youtube video of <name> today,download youtube video,5
would you like to play a game with me,play games,11
i need a funny joke to tell sam,tell me joke,17
make me laugh,tell me joke,17
Shhh,goodbye,6
I am Bella,"greet and hello hi kind of things, general check in",7
volume control increase,volume control,19
I have good news,tell me news,18
Hola how are you?,"greet and hello hi kind of things, general check in",7
please play this game,play games,11
play games of xyz 32 bit,play games,11
i am bored today what can i do,i am bored,8
take screenshot of google,take screenshot,15
"Thank you, bye",goodbye,6
